program,slug,year-1,year-2,year-3,year-4,link,description,note,Leadership,Research,Entrepreneurship,Public Speaking,Teamwork,Mentoring,Competitive Teams,Global Engagement,Advanced Degree,K12 Outreach,Professional Certification,online,faculty-led,networking,certfication,staff-contact
Entrepreneurship + Innovation @ Fulton Schools,entrepreneurship,TRUE,TRUE,TRUE,TRUE,https://entrepreneurship.engineering.asu.edu/,"Learn to leverage an entrepreneurial mindset to advance your ideas for the benefit of our economy and society. E+I @ Fulton offers signature degree and certificate programs, courses, workshops, expert mentoring, new venture competitions, and other curricular and co-curricular opportunities that expose you to the concepts of technology innovation and marketplace impact. ",,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Melissa Stine 
Fulton Ambassadors ,ambassador,TRUE,TRUE,TRUE,TRUE,https://engineering.asu.edu/meet-the-fulton-ambassadors/,"Be a part of this group of students who support the Fulton Schools as representatives at recruitment events and outreach activities within the community. In addition to developing professional and leadership skills,  you will also receive a letter of recommendation from the Dean.",Second semester and beyond.,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Kaely Graham 
Fulton Schools and Barrett Honors ,honors,TRUE,TRUE,TRUE,TRUE,http://barretthonors.asu.edu/admissions/current-asu-students/,"Many Fulton Schools undergraduate students are part of the unique community at Barrett, The Honors College. Enjoy select opportunities to travel abroad, earn scholarships, attend special events specifically for honors students, and receive funding to travel and complete  creative projects/theses.
",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Kaely Graham 
FURI: Fulton Undergraduate Research Initiative,furi,TRUE,TRUE,TRUE,TRUE,http://engineering.asu.edu/furi/,"Solve real-world problems; investigate possible career paths; build a mentoring relationship with a faculty member outside of class; gain a competitive advantage for graduate school or jobs and internships; and gain essential skills for career success. Through this paid research opportunity, you will conduct research with a faculty mentor and present your findings at a semiannual symposium. ",Second semester and beyond.,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Melissa Stine 
Internships ,intern,TRUE,TRUE,TRUE,TRUE,https://career.engineering.asu.edu/internships/,"Gain practical work experience related to your major by applying to internships offered by our industry partners. You might be able to earn course credit through your academic department. Internships are usually one summer of supervised work experience related to your chosen career field. These opportunities foster professional, personal and skill development, and are usually paid.",,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Vicki Fox 
Order of the Engineer and Pledge of the Computing Professional,prof-org,FALSE,FALSE,FALSE,TRUE,http://engineering.asu.edu/ote/,Experience the rite-of-passage ceremony for students graduating in engineering and computing science. The ceremony is intended to promote and recognize the ethical and moral behavior in graduates as they transition from being a student to a working professional.,Complete during your last semester.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Chuck Barbee
Outreach,outreach,TRUE,TRUE,TRUE,TRUE,https://outreach.engineering.asu.edu ,"Work with outreach programs to promote science, technology, engineering and math in the community and engage younger students in the excitement of what we do every day. This is a chance to gain valuable mentoring skills, volunteer experience and inspire others to pursue studies or careers in engineering and technology.",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Kaely Graham 
Peer career coaches ,peer-coach,FALSE,FALSE,FALSE,FALSE,https://engineering.asu.edu/career/career-coaching/,"students and connect you to resources for internships, jobs and career events. ",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Vicki Fox 
Peer Mentors ,peer-mentor,FALSE,TRUE,TRUE,TRUE,https://engineering.asu.edu/peermentors/,"All undergraudate students—whether living in one of our residential communities, commuting to campus, or enrolled in our online programs—are assigned a peer mentor who provides referrals to academic resources across campus. As a peer mentor you would host events to ensure new students feel connected to the Fulton Schools, and guide first-year students through their transition to ASU.",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Dani Ramirez-Escobedo 
Fulton Student Council ,student-council,FALSE,TRUE,TRUE,TRUE,http://studentorgs.engineering.asu.edu/esc/,"The Fulton Schools of Engineering Student Council serves as an umbrella group for all student organizations registered with the Fulton Schools. Student Council members have the opportunity to develop leadership skills, understand organizational structures, network with Fulton Schools faculty and staff, and serve as a conduit for communication between students, student organizations and the dean to help shape the future of the college",,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Melissa Stine 
Fulton Academy Camp Counselors ,academy,TRUE,TRUE,TRUE,TRUE,http://outreach.engineering.asu.edu/summer-programs/,"Throughout the year we host a number of summer camps designed to engage K-12 students in science, technology, engineering and math-related activities. From robotics to mobile application creation, our goal is to share the excitement of engineering and technology with aspiring future problem solvers.",Second semester and beyond.,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Kaely Graham 
Study Abroad ,abroad,FALSE,TRUE,TRUE,TRUE,http://engineering.asu.edu/studyabroad,"Experience a new culture, learn professional practices used outside of the U.S., become competitive in a global job market and see the world in a new way. Visiting a different country is a valuable opportunity to expand your worldview and gather insight and inspiration from a different perspective. From exchange and partnership programs, to faculty-directed summer programs, the study abroad experience will enhance your understanding of engineering and technical concepts, global business perspectives, world issues and societies.",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Kae Sawyer 
Tutoring ,tutoring,TRUE,TRUE,TRUE,TRUE,http://tutoring.engineering.asu.edu/,"Fulton Schools of Engineering Tutoring Centers are here to support you in your Fulton schools classes. Our Tutors are undergraduate and graduate students that have excelled in the same classes you are taking. Our centers offer convenient hours and are located in key areas around campus and online, stop by one of our locations to get support in your classes.",,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Christina Hernandez 
Undergraduate Teaching Assistants/ASU 101 Section Leaders,undergrad-ta,FALSE,TRUE,TRUE,TRUE,http://more.engineering.asu.edu/ugta/,"The Undergraduate Teaching Assistant (UGTA) and ASU 101 Section Leader (SL) program selects successful undergraduate students to serve as teaching assistants in a variety of classes offered by the Ira A. Fulton Schools of Engineering. We aim to place a UGTA or Section Leader in every section of our introduction to engineering courses such as ASU 101, FSE 100, and EGR 101 as well as some of our content courses to assist faculty members with exploratory and collaborative learning activities.  UGTAs and Section Leaders act as a cultural bridge from high school to the university environment, help freshmen to navigate the institution, promote self-confidence and self-reliance, act as role models who demonstrate personal and academic success, and offer academic support and guidance to their peers in the classroom. ",,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NIkki Sanchez
